#SampleID	LinkerPrimerSequence	Project	Dataset	Description	sequences_otu_table_mc2_w_tax_no_pynast_failures_min_SWI	sequences_otu_table_mc2_w_tax_no_pynast_failures_min_SWI_chlor_gone	mc2_percent_sequences_bacteria	mc2_percent_sequences_chloroplast	mc2_sequence_after_rarefaction_chlor_gone	mc2_percent_sequences_retained_chlor_gone_rarefied	sequences_otu_table_mc1_w_tax_no_pynast_failures_min_SWI	sequences_otu_table_mc1_w_tax_no_pynast_failures_min_SWI_chlor_gone	mc1_percent_sequences_bacteria	mc1_percent_sequences_chloroplast	m1_sequence_after_rarefaction_chlor_gone	mc1_percent_sequences_retained_chlor_gone_rarefied	Category	Experiment	ExperimentType	StartDate	Treatment	Day	Timepoint	FilterNumber	Event	SamplingDate	Time	Julian	Month	ShortMonth	DayLength	Temp	Salinity	Leucine	ChlA	Phae	Phosphate	Silicate	Nitrite	Nitrate	Ammonium	NitrateNitrite	DOC	PC	PN	LoessDay	Week	AccuriCount	BCDendrogram50PercentSimilar
LAZPALBv6.PAL12420131021F02		LAZ_PAL_Bv6	PAL_124_20131021_F02	Palmer_sea_water_intake_sample	333939	281763	0.84	0.16	43308	0.15	334203	282002	0.84	0.16	43308	0.15	SWI	NA	NA	NA	NA	NA	NA		42	10/21/13	1100	294	October	Oct	16.68333333	-0.22	36.2	4.439874	0.471272722	0.369649222	1.892	64.451	-999	-999	-999	26.098	1	0.03	0.01	109	16		1
LAZPALBv6.PAL12520131021F02		LAZ_PAL_Bv6	PAL_125_20131021_F02	Palmer_sea_water_intake_sample	147055	127723	0.87	0.13	43308	0.34	147173	127835	0.87	0.13	43308	0.34	SWI	NA	NA	NA	NA	NA	NA		42	10/21/13	1100	294	October	Oct	16.68333333	-0.22	36.2	4.028574	0.393459627	0.414467734	1.776	64.075	-999	-999	-999	27.183	1	0.03	0.01	109	16		1
LAZPALBv6.PAL13520131031F02		LAZ_PAL_Bv6	PAL_135_20131031_F02	Palmer_sea_water_intake_sample	244428	214966	0.88	0.12	43308	0.2	244725	215247	0.88	0.12	43308	0.2	SWI	NA	NA	NA	NA	NA	NA		46	10/31/13	830	304	October	Oct	17.53333333	0.07	35.9	4.389583	0.118047042	0.348130826	1.863	63.875	-999	-999	-999	25.388	1	0.01	0	119	17		1
LAZPALBv6.PAL13620131031F02		LAZ_PAL_Bv6	PAL_136_20131031_F02	Palmer_sea_water_intake_sample	189251	155644	0.82	0.18	43308	0.28	189487	155860	0.82	0.18	43308	0.28	SWI	NA	NA	NA	NA	NA	NA		46	10/31/13	830	304	October	Oct	17.53333333	0.07	35.9	4.340765	0.110723457	0.347755675	1.848	64.154	-999	-999	-999	26.104	1	0.01	0.01	119	17		1
LAZPALBv6.PAL13720131031F02		LAZ_PAL_Bv6	PAL_137_20131031_F02	Palmer_sea_water_intake_sample	221066	174859	0.79	0.21	43308	0.25	221373	175130	0.79	0.21	43308	0.25	SWI	NA	NA	NA	NA	NA	NA		46	10/31/13	830	304	October	Oct	17.53333333	0.07	35.9	4.514428	0.122166559	0.355559413	1.808	59.676	-999	-999	-999	24.797	1	0.01	0.01	119	17		1
LAZPALBv6.PAL16020131107F02		LAZ_PAL_Bv6	PAL_160_20131107_F02	Palmer_sea_water_intake_sample	417853	355047	0.85	0.15	43308	0.12	418465	355592	0.85	0.15	43308	0.12	SWI	NA	NA	NA	NA	NA	NA	160	51	11/7/13	1030	311	November	Nov	19.7	0.17	35	4.488532	0.201307054	0.72221133	1.959	66.62	-999	-999	-999	25.369	1	0.05	0.02	126	18		1
LAZPALBv6.PAL16120131107F02		LAZ_PAL_Bv6	PAL_161_20131107_F02	Palmer_sea_water_intake_sample	229446	200516	0.87	0.13	43308	0.22	229769	200821	0.87	0.13	43308	0.22	SWI	NA	NA	NA	NA	NA	NA	161	51	11/7/13	1030	311	November	Nov	19.7	0.17	35	4.033656	0.201307054	0.48575015	1.957	62.949	-999	-999	-999	27.825	1	0.02	0.01	126	18		1
LAZPALBv6.PAL16220131107F02		LAZ_PAL_Bv6	PAL_162_20131107_F02	Palmer_sea_water_intake_sample	434840	396685	0.91	0.09	43308	0.11	435440	397247	0.91	0.09	43308	0.11	SWI	NA	NA	NA	NA	NA	NA	162	51	11/7/13	1030	311	November	Nov	19.7	0.17	35	3.460783	0.114339477	0.352753839	1.932	64.552	-999	-999	-999	27.868	1	0.03	0.01	126	18		1
LAZPALBv6.PAL18120131125F02		LAZ_PAL_Bv6	PAL_181_20131125_F02	Palmer_sea_water_intake_sample	122380	87632	0.72	0.28	43308	0.49	122481	87729	0.72	0.28	43308	0.49	SWI	NA	NA	NA	NA	NA	NA	181	57	11/25/13	900	329	November	Nov	20.7	0.14	34.9	3.840206	0.257561345	0.26320316	1.96	66.026	-999	-999	-999	27.738	1	0.05	0.05	144	21		1
LAZPALBv6.PAL18220131125F02		LAZ_PAL_Bv6	PAL_182_20131125_F02	Palmer_sea_water_intake_sample	71117	52055	0.73	0.27	43308	0.83	71213	52149	0.73	0.27	43308	0.83	SWI	NA	NA	NA	NA	NA	NA	182	57	11/25/13	900	329	November	Nov	20.7	0.14	34.9	3.667431	0.208584867	0.283034423	2.06	56.879	-999	-999	-999	28.774	1	0.05	0.05	144	21		1
LAZPALBv6.PAL18320131125F02		LAZ_PAL_Bv6	PAL_183_20131125_F02	Palmer_sea_water_intake_sample	190141	132707	0.7	0.3	43308	0.33	190412	132971	0.7	0.3	43308	0.33	SWI	NA	NA	NA	NA	NA	NA	183	57	11/25/13	900	329	November	Nov	20.7	0.14	34.9	3.641489	0.24245645	0.290955979	2.072	61.118	-999	-999	-999	27.353	1	-999	-999	144	21		1
LAZPALBv6.PAL21420131204F02		LAZ_PAL_Bv6	PAL_214_20131204_F02	Palmer_sea_water_intake_sample	297145	194040	0.65	0.35	43308	0.22	297641	194544	0.65	0.35	43308	0.22	SWI	NA	NA	NA	NA	NA	NA		65	12/4/13	830	338	December	Dec	21.18333333	0.4	33.6	7.159654	0.532104253	0.980147477	-999	-999	-999	-999	-999	-999	1	0.08	0.02	153	22	67625	2
LAZPALBv6.PAL21520131204F02		LAZ_PAL_Bv6	PAL_215_20131204_F02	Palmer_sea_water_intake_sample	250578	156968	0.63	0.37	43308	0.28	250971	157380	0.63	0.37	43308	0.28	SWI	NA	NA	NA	NA	NA	NA		65	12/4/13	830	338	December	Dec	21.18333333	0.4	33.6	5.44443	0.406230129	0.41176058	1.759	64.935	-999	-999	-999	24.169	1	0.06	0.01	153	22	67429	2
LAZPALBv6.PAL21620131204F02		LAZ_PAL_Bv6	PAL_216_20131204_F02	Palmer_sea_water_intake_sample	246376	155208	0.63	0.37	43308	0.28	246778	155626	0.63	0.37	43308	0.28	SWI	NA	NA	NA	NA	NA	NA		65	12/4/13	830	338	December	Dec	21.18333333	0.4	33.6	4.740252	0.41195168	0.433534515	1.781	64.595	-999	-999	-999	22.661	1	-999	-999	153	22	119000	2
LAZPALBv6.PAL22320131209F02		LAZ_PAL_Bv6	PAL_223_20131209_F02	Palmer_sea_water_intake_sample	176168	119157	0.68	0.32	43308	0.36	176354	119343	0.68	0.32	43308	0.36	SWI	NA	NA	NA	NA	NA	NA		68	12/9/13	930	343	December	Dec	21.75	0.77	35.3	11.447825	0.760909082	0.579289645	1.658	60.951	-999	-999	-999	19.279	1	0.07	0.05	158	23	165429	2
LAZPALBv6.PAL22420131209F02		LAZ_PAL_Bv6	PAL_224_20131209_F02	Palmer_sea_water_intake_sample	436613	281466	0.64	0.36	43308	0.15	436977	281834	0.64	0.36	43308	0.15	SWI	NA	NA	NA	NA	NA	NA		68	12/9/13	930	343	December	Dec	21.75	0.77	35.3	6.256518	0.675085815	0.52076161	1.631	60.885	-999	-999	-999	22.132	1	0.09	0.02	158	23	160643	2
LAZPALBv6.PAL22520131209F02		LAZ_PAL_Bv6	PAL_225_20131209_F02	Palmer_sea_water_intake_sample	99581	67204	0.67	0.33	43308	0.64	99651	67281	0.68	0.32	43308	0.64	SWI	NA	NA	NA	NA	NA	NA		68	12/9/13	930	343	December	Dec	21.75	0.77	35.3	10.269738	0.69797202	0.525370891	1.659	59.31	-999	-999	-999	23.407	1	0.09	0.02	158	23	154929	2
LAZPALBv6.PAL22620131220F02		LAZ_PAL_Bv6	PAL_226_20131220_F02	Palmer_sea_water_intake_sample	158883	116410	0.73	0.27	43308	0.37	158957	116493	0.73	0.27	43308	0.37	SWI	NA	NA	NA	NA	NA	NA	226	23	12/20/13	900	354	December	Dec	21.73333333	0.1	NA	19.54	0.1234	0.0292	1.772	62.26	-999	-999	-999	23.477	1	0.14	0.07	169	24	255692	2
LAZPALBv6.PAL22720131220F02		LAZ_PAL_Bv6	PAL_227_20131220_F02	Palmer_sea_water_intake_sample	242952	155944	0.64	0.36	43308	0.28	243081	156102	0.64	0.36	43308	0.28	SWI	NA	NA	NA	NA	NA	NA	227	23	12/20/13	900	354	December	Dec	21.73333333	0.1	NA	9.69	0.1234	0.0292	1.79	60.975	-999	-999	-999	23.934	1	0.14	0.03	169	24	259846	2
LAZPALBv6.PAL22820131220F02		LAZ_PAL_Bv6	PAL_228_20131220_F02	Palmer_sea_water_intake_sample	242467	159968	0.66	0.34	43308	0.27	242601	160140	0.66	0.34	43308	0.27	SWI	NA	NA	NA	NA	NA	NA	228	23	12/20/13	900	354	December	Dec	21.73333333	0.1	NA	16.42	0.1234	0.0292	1.769	60.315	-999	-999	-999	22.908	1	0.12	0.03	169	24	303462	2
LAZPALBv6.PAL22920131225F02		LAZ_PAL_Bv6	PAL_229_20131225_F02	Palmer_sea_water_intake_sample	257579	220171	0.85	0.15	43308	0.2	257807	220395	0.85	0.15	43308	0.2	SWI	NA	NA	NA	NA	NA	NA	229	27	12/25/13	906	359	December	Dec	21.26666667	0.4	NA	5.72	0.0003	0.0002	-999	-999	-999	-999	-999	-999	1	0.04	0.01	174	25	236929	2
LAZPALBv6.PAL23020131225F02		LAZ_PAL_Bv6	PAL_230_20131225_F02	Palmer_sea_water_intake_sample	196503	163926	0.83	0.17	43308	0.26	196662	164095	0.83	0.17	43308	0.26	SWI	NA	NA	NA	NA	NA	NA	230	27	12/25/13	906	359	December	Dec	21.26666667	0.4	NA	7.33	0.0003	0.0002	-999	-999	-999	-999	-999	-999	1	0.05	0.01	174	25	236857	2
LAZPALBv6.PAL23120131225F02		LAZ_PAL_Bv6	PAL_231_20131225_F02	Palmer_sea_water_intake_sample	197030	167591	0.85	0.15	43308	0.26	197179	167732	0.85	0.15	43308	0.26	SWI	NA	NA	NA	NA	NA	NA	231	27	12/25/13	906	359	December	Dec	21.26666667	0.4	NA	6.01	0.0003	0.0002	-999	-999	-999	-999	-999	-999	1	0.04	0.01	174	25	262923	2
LAZPALBv6.PAL23220140101F02		LAZ_PAL_Bv6	PAL_232_20140101_F02	Palmer_sea_water_intake_sample	139578	110643	0.79	0.21	43308	0.39	139657	110714	0.79	0.21	43308	0.39	SWI	NA	NA	NA	NA	NA	NA		38	1/1/14	915	1	January	Jan	20.8	1.5	NA	44.39	6.6207	0.4758	-999	-999	-999	-999	-999	-999	1	0.6	0.13	186	27	783231	3
LAZPALBv6.PAL23320140101F02		LAZ_PAL_Bv6	PAL_233_20140101_F02	Palmer_sea_water_intake_sample	303994	253437	0.83	0.17	43308	0.17	304122	253552	0.83	0.17	43308	0.17	SWI	NA	NA	NA	NA	NA	NA		38	1/1/14	915	1	January	Jan	20.8	1.5	NA	43.49	6.6207	0.4758	1.099	64.091	-999	-999	-999	13.21	1	0.42	0.09	186	27	938538	3
LAZPALBv6.PAL23420140101F02		LAZ_PAL_Bv6	PAL_234_20140101_F02	Palmer_sea_water_intake_sample	331320	275003	0.83	0.17	43308	0.16	331502	275167	0.83	0.17	43308	0.16	SWI	NA	NA	NA	NA	NA	NA		38	1/1/14	915	1	January	Jan	20.8	1.5	NA	4.044	6.6207	0.4758	1.092	59.664	-999	-999	-999	13.164	1	0.45	0.1	186	27	896923	3
LAZPALBv6.PAL23520140106F02		LAZ_PAL_Bv6	PAL_235_20140106_F02	Palmer_sea_water_intake_sample	300393	207915	0.69	0.31	43308	0.21	300619	208113	0.69	0.31	43308	0.21	SWI	NA	NA	NA	NA	NA	NA		46	1/6/14	1010	6	January	Jan	20.05	1.5	NA	30.29	21.6587	3.9871	-999	-999	-999	-999	-999	-999	1	0.85	0.19	191	27	637077	3
LAZPALBv6.PAL23620140106F02		LAZ_PAL_Bv6	PAL_236_20140106_F02	Palmer_sea_water_intake_sample	219897	147798	0.67	0.33	43308	0.29	220069	147967	0.67	0.33	43308	0.29	SWI	NA	NA	NA	NA	NA	NA		46	1/6/14	1010	6	January	Jan	20.05	1.5	NA	26.32	21.6587	3.9871	0.56	54.477	-999	-999	-999	3.434	1	0.85	0.2	191	27	623154	3
LAZPALBv6.PAL23720140106F02		LAZ_PAL_Bv6	PAL_237_20140106_F02	Palmer_sea_water_intake_sample	224851	133965	0.6	0.4	43308	0.32	225012	134131	0.6	0.4	43308	0.32	SWI	NA	NA	NA	NA	NA	NA		46	1/6/14	1010	6	January	Jan	20.05	1.5	NA	26.37	21.6587	3.9871	0.496	54.216	-999	-999	-999	1.9	1	0.88	0.2	191	27	680714	3
LAZPALBv6.PAL23820140113F02		LAZ_PAL_Bv6	PAL_238_20140113_F02	Palmer_sea_water_intake_sample	190369	167076	0.88	0.12	43308	0.26	190499	167198	0.88	0.12	43308	0.26	SWI	NA	NA	NA	NA	NA	NA		51	1/13/14	1130	13	January	Jan	19.1	1.3	NA	65.71	7.3829	0.8753	-999	-999	-999	-999	-999	-999	1	0.44	0.12	198	28	541231	4
LAZPALBv6.PAL23920140113F02		LAZ_PAL_Bv6	PAL_239_20140113_F02	Palmer_sea_water_intake_sample	187568	160462	0.86	0.14	43308	0.27	187676	160568	0.86	0.14	43308	0.27	SWI	NA	NA	NA	NA	NA	NA		51	1/13/14	1130	13	January	Jan	19.1	1.3	NA	69.21	7.3829	0.8753	-999	-999	-999	-999	-999	-999	1	0.4	0.1	198	28	498385	4
LAZPALBv6.PAL24020140113F02		LAZ_PAL_Bv6	PAL_240_20140113_F02	Palmer_sea_water_intake_sample	174234	150524	0.86	0.14	43308	0.29	174379	150660	0.86	0.14	43308	0.29	SWI	NA	NA	NA	NA	NA	NA		51	1/13/14	1130	13	January	Jan	19.1	1.3	NA	62.62	7.3829	0.8753	-999	-999	-999	-999	-999	-999	1	0.42	0.09	198	28	452786	4
LAZPALBv6.PAL24220140121F02		LAZ_PAL_Bv6	PAL_242_20140121_F02	Palmer_sea_water_intake_sample	89802	88870	0.99	0.01	43308	0.49	89832	88900	0.99	0.01	43308	0.49	SWI	NA	NA	NA	NA	NA	NA		63	1/21/14	710	21	January	Jan	18.25	1.6	NA	111.9	10.2577	3.0387	0.999	48.768	-999	-999	-999	10.409	1	0.55	0.12	206	29	1226615	4
LAZPALBv6.PAL24320140121F02		LAZ_PAL_Bv6	PAL_243_20140121_F02	Palmer_sea_water_intake_sample	272964	263289	0.96	0.04	43308	0.16	273091	263412	0.96	0.04	43308	0.16	SWI	NA	NA	NA	NA	NA	NA		63	1/21/14	710	21	January	Jan	18.25	1.6	NA	71.69	10.2577	3.0387	0.963	48.42	-999	-999	-999	10.132	1	0.58	0.15	206	29	1266000	4
LAZPALBv6.PAL24420140128F02		LAZ_PAL_Bv6	PAL_244_20140128_F02	Palmer_sea_water_intake_sample	404058	396924	0.98	0.02	43308	0.11	404273	397140	0.98	0.02	43308	0.11	SWI	NA	NA	NA	NA	NA	NA		73	1/28/14	840	28	January	Jan	17.38333333	1.6	NA	128.77	4.1978	2.2989	0.816	48.399	-999	-999	-999	5.541	1	0.67	0.18	213	30	1019857	4
LAZPALBv6.PAL24520140128F02		LAZ_PAL_Bv6	PAL_245_20140128_F02	Palmer_sea_water_intake_sample	219690	217713	0.99	0.01	43308	0.2	219779	217802	0.99	0.01	43308	0.2	SWI	NA	NA	NA	NA	NA	NA		73	1/28/14	840	28	January	Jan	17.38333333	1.6	NA	118.43	4.1978	2.2989	0.814	46.387	-999	-999	-999	6.353	1	0.26	0.07	213	30	1080077	4
LAZPALBv6.PAL24620140128F02		LAZ_PAL_Bv6	PAL_246_20140128_F02	Palmer_sea_water_intake_sample	237907	234169	0.98	0.02	43308	0.18	238004	234265	0.98	0.02	43308	0.18	SWI	NA	NA	NA	NA	NA	NA		73	1/28/14	840	28	January	Jan	17.38333333	1.6	NA	110.53	4.1978	2.2989	0.819	47.918	-999	-999	-999	5.851	1	0.25	0.08	213	30	1051071	4
LAZPALBv6.PAL24720140204F02		LAZ_PAL_Bv6	PAL_247_20140204_F02	Palmer_sea_water_intake_sample	170982	163278	0.95	0.05	43308	0.27	171048	163349	0.95	0.05	43308	0.27	SWI	NA	NA	NA	NA	NA	NA		77	2/4/14	1100	35	February	Feb	16.53333333	0.6	NA	53.35	3.6588	0.243	0.537	46.58	-999	-999	-999	1.151	1	0.28	0.1	220	31	-999	4
LAZPALBv6.PAL24820140204F02		LAZ_PAL_Bv6	PAL_248_20140204_F02	Palmer_sea_water_intake_sample	239691	230563	0.96	0.04	43308	0.19	239772	230649	0.96	0.04	43308	0.19	SWI	NA	NA	NA	NA	NA	NA		77	2/4/14	1100	35	February	Feb	16.53333333	0.6	NA	49.83	3.6588	0.243	0.543	44.799	-999	-999	-999	1.011	1	0.8	0.27	220	31	-999	4
LAZPALBv6.PAL24920140204F02		LAZ_PAL_Bv6	PAL_249_20140204_F02	Palmer_sea_water_intake_sample	115997	112743	0.97	0.03	43308	0.38	116044	112793	0.97	0.03	43308	0.38	SWI	NA	NA	NA	NA	NA	NA		77	2/4/14	1100	35	February	Feb	16.53333333	0.6	NA	49.87	3.6588	0.243	0.521	43.766	-999	-999	-999	0.928	1	0.83	0.33	220	31	-999	4
LAZPALBv6.PAL25020140211F02		LAZ_PAL_Bv6	PAL_250_20140211_F02	Palmer_sea_water_intake_sample	151966	146111	0.96	0.04	43308	0.3	152075	146223	0.96	0.04	43308	0.3	SWI	NA	NA	NA	NA	NA	NA		84	2/11/14	945	42	February	Feb	15.7	1.5	NA	43.34	5.2268	0.8153	1.485	53.605	-999	-999	-999	17.22	1	0.8	0.23	227	32	458500	5
LAZPALBv6.PAL25120140211F02		LAZ_PAL_Bv6	PAL_251_20140211_F02	Palmer_sea_water_intake_sample	198052	195401	0.99	0.01	43308	0.22	198282	195631	0.99	0.01	43308	0.22	SWI	NA	NA	NA	NA	NA	NA		84	2/11/14	945	42	February	Feb	15.7	1.5	NA	26.33	5.2268	0.8153	1.488	55.56	-999	-999	-999	17.491	1	0.06	0.01	227	32	340077	5
LAZPALBv6.PAL25220140211F02		LAZ_PAL_Bv6	PAL_252_20140211_F02	Palmer_sea_water_intake_sample	163392	157610	0.96	0.04	43308	0.27	163523	157741	0.96	0.04	43308	0.27	SWI	NA	NA	NA	NA	NA	NA		84	2/11/14	945	42	February	Feb	15.7	1.5	NA	19.98	5.2268	0.8153	1.431	55.565	-999	-999	-999	17.216	1	0.06	0.02	227	32	283231	5
LAZPALBv6.PAL25320140218F02		LAZ_PAL_Bv6	PAL_253_20140218_F02	Palmer_sea_water_intake_sample	182828	174600	0.95	0.05	43308	0.25	183010	174778	0.96	0.04	43308	0.25	SWI	NA	NA	NA	NA	NA	NA		94	2/18/14	945	49	February	Feb	14.88333333	0.5	NA	17.61	0.6125	0.7607	1.366	49.042	-999	-999	-999	16.632	1	0.49	0.13	234	33	328692	5
LAZPALBv6.PAL25420140218F02		LAZ_PAL_Bv6	PAL_254_20140218_F02	Palmer_sea_water_intake_sample	264863	244065	0.92	0.08	43308	0.18	265154	244337	0.92	0.08	43308	0.18	SWI	NA	NA	NA	NA	NA	NA		94	2/18/14	945	49	February	Feb	14.88333333	0.5	NA	18.24	0.6125	0.7607	1.328	49.458	-999	-999	-999	16.695	1	0.03	0.04	234	33	381357	5
LAZPALBv6.PAL25520140218F02		LAZ_PAL_Bv6	PAL_255_20140218_F02	Palmer_sea_water_intake_sample	290357	280481	0.97	0.03	43308	0.15	290693	280808	0.97	0.03	43308	0.15	SWI	NA	NA	NA	NA	NA	NA		94	2/18/14	945	49	February	Feb	14.88333333	0.5	NA	16.9	0.6125	0.7607	1.392	47.116	-999	-999	-999	16.606	1	0.04	0.01	234	33	372154	5
LAZPALBv6.PAL25620140225F02		LAZ_PAL_Bv6	PAL_256_20140225_F02	Palmer_sea_water_intake_sample	295704	291582	0.99	0.01	43308	0.15	295887	291764	0.99	0.01	43308	0.15	SWI	NA	NA	NA	NA	NA	NA		104	2/25/14	830	56	February	Feb	14.18333333	-0.1	NA	20.27	2.4256	2.3664	1.148	46.664	-999	-999	-999	15.502	1	0.04	0.01	241	34	378615	5
LAZPALBv6.PAL25720140225F02		LAZ_PAL_Bv6	PAL_257_20140225_F02	Palmer_sea_water_intake_sample	237181	236407	1	0	43308	0.18	237310	236534	1	0	43308	0.18	SWI	NA	NA	NA	NA	NA	NA		104	2/25/14	830	56	February	Feb	14.18333333	-0.1	NA	32.22	2.4256	2.3664	1.13	45.898	-999	-999	-999	15.723	1	0.06	0.01	241	34	433615	5
LAZPALBv6.PAL25820140225F02		LAZ_PAL_Bv6	PAL_258_20140225_F02	Palmer_sea_water_intake_sample	166838	165866	0.99	0.01	43308	0.26	166939	165967	0.99	0.01	43308	0.26	SWI	NA	NA	NA	NA	NA	NA		104	2/25/14	830	56	February	Feb	14.18333333	-0.1	NA	33.26	2.4256	2.3664	1.193	44.685	-999	-999	-999	15.554	1	0.14	0.03	241	34	423538	5
LAZPALBv6.PAL25920140303F02		LAZ_PAL_Bv6	PAL_259_20140303_F02	Palmer_sea_water_intake_sample	192304	181983	0.95	0.05	43308	0.24	192455	182134	0.95	0.05	43308	0.24	SWI	NA	NA	NA	NA	NA	NA		110	3/3/14	930	62	March	Mar	13.26666667	-0.2	NA	18.51	1.8784	1.4741	1.337	47.103	-999	-999	-999	16.401	1	0.08	0.01	247	35	392929	2
LAZPALBv6.PAL26020140303F02		LAZ_PAL_Bv6	PAL_260_20140303_F02	Palmer_sea_water_intake_sample	223071	214302	0.96	0.04	43308	0.2	223215	214443	0.96	0.04	43308	0.2	SWI	NA	NA	NA	NA	NA	NA		110	3/3/14	930	62	March	Mar	13.26666667	-0.2	NA	17.3	1.8784	1.4741	1.337	47.654	-999	-999	-999	16.634	1	0.07	0.01	247	35	457385	2
